user_id,event_dt,event_name,details
E1BDDCE0DAFA2679,2020-12-07 20:22:03,purchase,99.99
7B6452F081F49504,2020-12-07 09:22:53,purchase,9.99
9CD9F34546DF254C,2020-12-07 12:59:29,purchase,4.99
96F27A054B191457,2020-12-07 04:02:40,purchase,4.99
1FD7660FDF94CA1F,2020-12-07 10:15:09,purchase,4.99
831887FE7F2D6CBA,2020-12-07 06:50:29,purchase,4.99
6B2F726BFD5F8220,2020-12-07 11:27:42,purchase,4.99
BEB37715AACF53B0,2020-12-07 04:26:15,purchase,4.99
B5FA27F582227197,2020-12-07 01:46:37,purchase,4.99
A92195E3CFB83DBD,2020-12-07 00:32:07,purchase,4.99
E2E76A8B3389127C,2020-12-07 15:39:32,purchase,4.99
354D653172FF2A2D,2020-12-07 15:45:11,purchase,4.99
7FCD34F47C13A9AC,2020-12-07 22:06:13,purchase,9.99
0313C457F07C339E,2020-12-07 13:10:48,purchase,9.99
214902A9BAAF3422,2020-12-07 19:31:44,purchase,4.99
AE6B95B9A7C6380E,2020-12-07 19:09:12,purchase,4.99
EC9AFCC18F1CF6D9,2020-12-07 19:19:00,purchase,4.99
3C5DD0288AC4FE23,2020-12-07 19:42:40,purchase,4.99
649ECF69EC552A56,2020-12-07 06:19:31,purchase,4.99
9C31B4124B3AE217,2020-12-07 21:38:36,purchase,4.99
5C4BA5C457BC114A,2020-12-07 05:37:13,purchase,9.99
FCD216B91578B8DC,2020-12-07 18:24:41,purchase,99.99
435506A7A2265BBD,2020-12-07 11:53:57,purchase,4.99
909B249EB165910F,2020-12-07 07:06:01,purchase,9.99
ED61425DAC3E345C,2020-12-07 01:03:27,purchase,4.99
C39E95E709714A06,2020-12-07 09:07:20,purchase,4.99
DE83B085136CBF2D,2020-12-07 20:10:44,purchase,99.99
F42CA236F49AB93B,2020-12-07 21:50:34,purchase,4.99
AA77BDA8996FE1B8,2020-12-07 08:24:41,purchase,9.99
5E9543D6EB27D7D7,2020-12-07 21:37:33,purchase,4.99
78B3AFBB700310CC,2020-12-07 23:44:09,purchase,4.99
80CEAF824A1F3E28,2020-12-07 15:54:06,purchase,499.99
5EB044CECD378F75,2020-12-07 02:50:18,purchase,4.99
C0A95CA2E9CC8009,2020-12-07 03:37:41,purchase,4.99
992ADF277CCE9349,2020-12-07 12:05:45,purchase,4.99
37034BF58CD3A95B,2020-12-07 19:36:07,purchase,99.99
2765321AC15BA00A,2020-12-07 08:57:39,purchase,4.99
834A37293A8F21BA,2020-12-07 05:12:03,purchase,4.99
24FA9BADBEB3014D,2020-12-07 01:59:36,purchase,99.99
831958A1EA95370E,2020-12-07 21:36:32,purchase,4.99
68262C0CCF7073D4,2020-12-07 13:40:49,purchase,4.99
F2BE35774F63059B,2020-12-07 05:23:18,purchase,4.99
6D052E09A94F0725,2020-12-07 02:54:36,purchase,9.99
